13
35
0 5 10 5 10 20 10 8 10 20 15 5 22
0 1 2
0 2 3
0 3 4
0 4 1
0 5 9
0 6 5
0 7 6
0 8 9
0 9 10
0 10 11
0 11 45
0 12 5
1 2 1
1 3 2
1 4 8
1 5 2
1 6 2
1 7 4
1 8 12
1 9 3
1 10 1
1 11 5
1 12 4
2 3 10
2 4 6
2 5 11
2 6 13
2 7 5
2 8 17
2 9 2
2 10 7
2 11 5
2 12 8
3 4 4
3 5 9
3 6 10
3 7 11
3 8 3
3 9 9
3 10 1
3 11 5
3 12 8
4 5 2
4 6 3
4 7 8
4 8 9
4 9 3
4 10 2
4 11 5
4 12 8
5 6 4
5 7 1
5 8 4
5 9 10
5 10 10
5 11 2
5 12 8
6 7 3
6 8 4
6 9 7
6 10 5
6 11 3
6 12 4
7 8 3
7 9 5
7 10 4
7 11 5
7 12 3
8 9 3
8 10 8
9 10 13
9 11 12
9 12 4
10 11 5
10 12 2
11 12 4
